User,Skill1,Skill2,Skill3
%D9%90%D9%90amiraelmergawy,Programming,Web Development,Java
-ezz,Web Development,JavaScript,Node.js
1212mohamedtaha,Natural Language Processing (NLP),DataStage,Teradata
3omarbadr,PHP,Laravel,MySQL
a-mohsen,Google Cloud Platform (GCP),Optimization,Scalability
a-nan-farag-b78a0b12b,Java,Microservices,Spring Framework
a-saeed-h,Design System,Chakra UI,RTK
a-youssry,Teamwork,Research,C
aaarafat,Front-end Development,React.js,JavaScript
aabdelsattaar,Linux,Red Hat Linux,Shell Scripting
aalaa-maher,ASP.NET,ASP.NET MVC,Angular
aashrafh,Material-UI,TypeScript,React.js
aazmy,Software Development Life Cycle (SDLC),Software Architectural Design,DevOps
abanoub-labib-706b1a50,SwiftUI,Swift (Programming Language),C# .Net
abanoubanis,ASP.NET,Angular,SOLID Design Principles
abdallah-95,C#,Java,SQL
abdallah-mahmoud-6b08b914b,UDS protocol,Bootloader,Vector cast
abdallah-rashad-28973a218,Embedded C,Embedded Software Programming,Microcontrollers
abdallahabusedo,Next.js,TypeScript,Redux.js
abdallahamdy,Windows Server,Red Hat Enterprise Linux (RHEL),Python
abdallasoliman,Programming,Software Development,Databases
abdeladl-shaheen-a313b8164,HTML,CSS,Microsoft Excel
abdelbaseer-shaheen-b078721a2,Tableau,Oracle SQL Developer,PySpark
abdelhakeem,Qt,Dear ImGui,CMake
abdelhameed-hassan,React.js,TypeScript,JavaScript
abdelkader-zayed-7959b2a3,JavaScript,CSS,ASP.NET
abdelmoez-elsaadany,Python (Programming Language),Machine Learning,Deep Learning
abdelmotey,Web Development,JavaScript,Git
abdelnazir,HTML 5,HTML,XHTML
abdelrahman-akl,Automation,ISTQB,Agile Methodologies
abdelrahman-ellethy-b840b3153,Customer Service,Customer Support,Software Testing(ISTQB)
abdelrahman-hammam-7b090b9b,Agile Project Management,Software Testing,REST APIs
abdelrahman-mamdouh-60b318157,Data Analysis,Verilog,VHDL
abdelrahman-mohamedd,MERN Stack,Mean Stack,Front-End Development
abdelrahman-osama-074758246,Functional Testing,Performance Testing,Selenium WebDriver
abdelrhman-basyoni,NestJS,TypeScript,Node.js
abdelrhman-elsaadi-41773070,OOP,Web Development,Healthcare Information Technology (HIT)
abdelrhman-mohamed-ashraf-7bb43410b,Linux,programming language c#,Web Application Security
abdelrhman-mostafa-087808168,Microservices,GraphQL,TypeScript
abdelrhmanafifi,UDS,Bootloader,Embedded Software
abdofawzi5,postgre,postgres,PostGIS
abdolrhman,PostgreSQL,Socket.io,redux
abdomagdy,JavaScript,React.js,Redux.js
abdullah-alhadidi,Software Development,Game Development,C++
abdullah-hanfy,AUTOSAR,Embedded Systems,C++
abdullahadel41,Express.js,React.js,Vue.js
abdulrahman-fouad-066763104,Jakarta Persistence,JavaFX,Hibernate
abdulrahman-shahat-499862181,python,computer vision,open-cv
abdulrahmanmahmoud,java,HTML5,Python (Programming Language)
adel-el-nabarawy-25a3391b7,Machine Learning,Data science,Python
adel-m-aek,Multithreading,Python scripting,Qt C++
adel-sadek-1aa018148,HTML,JavaScript,Css
adham-hesham-15b8b21a9,C++,Qt,Machine Learning
adham-mamdouh-1941b518b,Go (Programming Language),Ruby on Rails,Ruby
aelrewaidy,Python (Programming Language),Machine Learning,Natural Language Processing (NLP)
aessam,Software Development,Mobile Applications,Android
ahmad-adel-elkilany-3b48a5109,C (Programming Language),Python (Programming Language),Programming
ahmad-gadallah-33060a17a,C++,Object-Oriented Programming (OOP),Data Structures
ahmaddosama,Regression Analysis,Test Automation,Agile Methodologies
ahmadhindawy,Atmel AVR,Arduino,Eagle PCB
ahmawad96,"Extract, Transform, Load (ETL)",SQL,Extract Load Transform (ELT)
ahmdelemam,Ruby on Rails,Ruby,ElasticSearch
ahmed-abdelmalek,Python,Programming,Management
ahmed-abdelsalam-a8933842,Microsoft Office,Microsoft Excel,Customer Service
ahmed-alsaey-995017177,Node.js,MySQL,Amazon Web Services (AWS)
ahmed-amin-hassan-6aa619212,iOS,SwiftUI,Swift (Programming Language)
ahmed-ayman-3741551a5,Programming,Python (Programming Language),Data Structures
ahmed-bahaa-584346147,SQL,"Problem solving , Presentation Skills and other Soft Skills",Object-Oriented Programming (OOP)
ahmed-el-shoubashy-70237519a,Data Structures,Go (Programming Language),C++
ahmed-elabd-b30977152,Apollo GraphQL,Vue.js,Vuex
ahmed-elbatrawy-9a1480103,Liquibase,Sonarqube,MongoDB
ahmed-eldakhakhny,Software Quality Assurance,Testing,Test Automation
ahmed-elgarem-b996b065,Microsoft Office,Microsoft Excel,Microsoft Word
ahmed-elqaffas,Java,Android,Web Development
ahmed-elsayedm,C++,C (Programming Language),Python (Programming Language)
ahmed-esam-elzlabany-0157a5181,Programming,Web Development,Software Development
ahmed-gabal-106195131,Data Science,Machine Learning,python
ahmed-ghanem-968496164,RDBMS,PostgreSQL,Elasticsearch
ahmed-hamdy-abdel-gawad-50878325,C++,C,Computer Architecture
ahmed-hani-ibrahim-07270960,Artificial Intelligence,OOP,Data Structures
ahmed-hisham-7a250260,Algorithms,Software Development,Problem Solving
ahmed-ihab-54b1a1195,Jira,Jenkins,Git
ahmed-khaled-221433142,Microsoft Office,Java,C++
ahmed-khaled-86b6b1151,Microservices,Spring Security,Spring Data
ahmed-khaled-a53363193,Laravel,Jest,suitescript
ahmed-khaled-b907b4144,Strategic Analysis,R (Programming Language),Quantitative Analytics
ahmed-khalil-357152199,C#,Socket Programming,Message Broker
ahmed-m-hamed,SCSS,GitHub,Gitlab
ahmed-m-ibrahim-4a3b3416a,ISTQB,Agile Methodologies,Test Automation
ahmed-mamdouh-7bb701192,Node.js,Express.js,PostgreSQL
ahmed-moamen-897359180,PyTorch,Continuous Integration and Continuous Delivery (CI/CD),octave
ahmed-mohamed-akl,Java,JavaScript,XML
ahmed-mokbel-105b53168,Python (Programming Language),Machine Learning,Deep Learning
ahmed-nageh-0921b9128,Leadership,Public Speaking,Research
ahmed-qandeel,Embedded Systems,C (Programming Language),Software Testing
ahmed-salah-1a3926162,تطوير الواجهة الأمامية,HTML5,ASP.NET
ahmed-samir-58250284,Web Development,Machine Learning,Data Science
ahmed-samir-83474a121,Web Development,Full-Stack Development,React.js
ahmed-samir-b0206b1b8,Unit Testing,Docker,Kubernetes
ahmed-samy-datascientist,Artificial Intelligence (AI),Machine Learning,Data Science
ahmed-sayed-mansour-139101182,Django,Git,Software Development
ahmed-senjer-519207168,ASP.NET MVC,C#,ASP.NET Web API
ahmed-shaarawy-1982ab145,React Native,React.js,JavaScript
ahmed-wael-3b61a0111,Software Development,Program Management,Project Management
ahmed-wasfey-sleem,Teaching,Computer Graphics,Data Visualization
ahmed-younis-57208a150,Node.js,Software Engineering,Android Development
ahmed-yousry12,Java,JavaScript,Microservices
ahmed-youssef-32781713a,Mobile Application Development,UIKit,Core Animation
ahmed-zakaria-20184a146,Linux,Engineering,Project Management
ahmedabdallahnasr,.NET Core,MongoDB,SQL
ahmedabuamra,Hacklang,HackLang,Hack
ahmedashraf97,Programming,Web Development,Computer Vision
ahmedelkhaberi,Google Cloud Platform (GCP),Object-Oriented Programming (OOP),Java Enterprise Edition
ahmedeltaweel,Go (Programming Language),Python,Django
ahmedessam-12,.NET Framework,Contract Testing,Pact.io
ahmedfathykhalid,Software Development,Programming,C#
ahmedfrontend,Front-End Development,Entity Framework (EF) Core,.NET Core
ahmedhamed2020,Microsoft Office,Leadership,Strategic Planning
ahmedhemaz,Node.js,Angular,Java
ahmedhussam,ADO.NET,.NET,OOP
ahmedkhames,Networking,Digital Designs,Git
ahmedmabrouck,OutSystems,Object-Oriented Programming (OOP),C#
ahmedmks,C++,C#,Unity
ahmedmuti,HTML,Vue.js,PHP
ahmednasser23,java,Android Development,Web Applications
ahmednmahran,Cross-functional Team Leadership,Continuous Integration and Continuous Delivery (CI/CD),Team Leadership
ahmedosama9777,Python (Programming Language),Django,Linux
ahmedramzy1795,Swift (Programming Language),RxSwift,Objective-C
ahmedshalaby96,Model-View-Controller (MVC),REST APIs,Back-End Web Development
ahmedtremo,Python,SQL,Kubernetes
ahmedyassernosseir,Mobile Application Development,PostgreSQL,Docker
ahmibr68,C++,Data Structures,Algorithms
aielawady,Machine Learning,Computer Vision,Deep Learning
akabdelrahman,C++,Machine Learning,Deep Learning
alaa-mady-7a8aa51a8,HTML,Cascading Style Sheets (CSS),ReactJS
alaa-magdy-25a666189,Next.js,React.js,reactjs with Redux
alaa-moaataz-3740308b,Android Development,Java,Kotlin
alaa-moustapha,Express.js,Node.js,freelance
alaaelnagy,DevOps,Cloud Computing,Networking
alaagamaall,Python (Programming Language),Research,C++
ali-harby-4103b7169,Django,Linux,Laravel
aliaa-attia,Next.js,Git,Linux
aliaa-yasser,ASP.NET MVC,SQL,Object-Oriented Programming (OOP)
aliabdelaal,Machine Learning,Natural Language Processing,Text Mining
alielsherbiny,Teamwork,problem solving,Teaching
alien0x,JavaScript,PHP,SQL
alimagedayad,Celery,PostgreSQL,Django
aly-ramzy-24450b179,Web Development,C#,C++
aly-sabry-4b1a50185,Front-end Development,Back-End Web Development,Web Development
alyeldegwy,Angular,NodeJS,Vue.js
alyymagdy,Leadership,C++,C
aman-allah-rafat,Java,Data Structures,Object-Oriented Programming (OOP)
amina-gaber-088026a5,Microsoft Office,C++,Python (Programming Language)
amir-attya,C#,Web Services API,Web Services
amira-ashmawy-247252a1,CRM Integration,Integration,REST APIs
amira-atef-7a90a5156,"Web development using C# ,Entity Framework ,MVC, SQL Server, ADO.net , LINQ","Web Design using HTML5 , CSS3, Jquery , Java script , Bootstarp 4",Develop WCF and Restful web services
amira-khaled-mokhtar,PySpark,Kafka,DDL
amira-mamoun-395b4862,C++,Java,Programming
amira-nagi-6b705235,C,Servlets,JSF
amiramamdouh,matlab programming,c programming,multisim
amiramohkamal,Self Learning,Team Workshops,Listen
aml-esmail-42a8b611b,ActionScript,JavaScript,HTML
ammar21,Software Development Life Cycle (SDLC),Software Engineernig,Agile Application Development
amoharib,Python,Geographic Information Systems (GIS),Android Development
amr-alaaeldin-ismail,PostgreSQL,Spring Boot,MongoDB
amr-anwr-aa92211b2,Agile Methodologies,Problem Solving,Data Structures
amr-el-agamy-45a72a2,Algorithms,C++,Java
amr-elsersy-a29484198,Computer Vision,LiDAR,C++
amr-elsherbiny-769092138,PostgreSQL,Linux,Docker
amr-elyamany-0158a26b,Java,C,C++
amr-galaleldin-2011,React.js,Object-Oriented Programming (OOP),Spring Boot
amr-khaled-632427199,Microsoft Power BI,Regular Expressions,MongoDB
amr-m-abdelgawad,C (Programming Language),Embedded C,Embedded Systems
amr-magdy-095007131,Problem Solving,c++,Object-Oriented Programming (OOP)
amr-mohamed-foad,HTML,XML,Object-Oriented Programming (OOP)
amr-muhammed,Jenkins,Git,Prometheus.io
amrelrouby,C++,Software Design,Software Development
amrmustafa97,Machine Learning,Python (Programming Language),Object-Oriented Programming (OOP)
amroakmal,Google Cloud Platform (GCP),Multithreading,Concurrent Programming
amrtarekmo,Problem Solving,Object-Oriented Programming (OOP),Software Development
antoun-wagdy-025443b6,modern c++,c++14,c++17
arrashed,Java,Akka,Scala
arwa-mohammed-abdelhamid,Graphic Design,Programming,MySQL
asmaa-aman,Responsive Web Design,HTML5,Redux.js
asmaa-elsayed-ahmed,Python (Programming Language),Bash,Red Hat Enterprise Linux (RHEL)
asmaa-esam-a17b23189,Communication,English,Mobile Application Development
asmaa-salem-a11741124,Tailwind CSS,Vue.js,Progressive Web Applications (PWAs)
asmmo,C++,Rust (Programming Language),Concurrent Programming
assem-salama-913a0a180,Programming,Mobile Application Development,Front-end Development
atefgad,Redux.js,Postman API,REST APIs
aya-ahmed-aab471256,jQuery,Front-End Development,Model-View-Controller (MVC)
aya-ali-78bba91a2,Object-Oriented Programming (OOP),PHP,E-Commerce
aya-el-ashry,Embedded Systems,C++,Social Media Marketing
aya-hussein-19a359134,Object-Oriented Programming (OOP),Programming,Python (Programming Language)
aya-magdy13892,Sales Processes,Auditing,Customer Support
ayaelsayed,Technical Project Management,Team Management,Transact-SQL (T-SQL)
ayah-elmaghraby,Java,C#,Parsing
ayatoullah-ramzy,Cascading Style Sheets (CSS),JavaScript,React.js
ayman-aladdin-1012,Node.js,MySQL,Bootstrap
ayman-el-ghotni-1245111a7,English,Machine Learning,TensorFlow
azizmousa,Machine Learning,Deep Learning,C++
badr-mohamed-2a307321b,Embedded Systems,C (Programming Language),Problem Solving
bahaa-el-deen-b71902156,GNU Debugger,Low Level Programming,Operating Systems
barmge,Android,Java,Kotlin
baselrabia,php,JavaScript,Design Patterns
bassant-sayed-714801187,Kubernetes,Amazon Web Services (AWS),Shell Scripting
bassel-emad-76003878,Embedded C,Communication Protocols,AUTOSAR
bassem-desouki,Angular Command Line Interface (CLI),Content Management Systems (CMS),Object-Oriented Programming (OOP)
bassem-onsimos,Engineering,Software Development,Web Development
bassemomar,RxJava,Version Control,Time Management
bassent-abuzeid-28178b128,C,C++,Java
belal-abdelnasser-04,Microsoft SQL Server,SQL Server Management Studio,Jasper Reports
belal-elgendy-328688113,programming ( C -Matlab -VHDL -Verilog ),interfacing microcontroller,strong knowledge in embededd C
belal-elhossany-a9a851180,Machine Learning,NLP,Optimize Deep Learning models
beshoy-samy-227855110,Node.js,Amazon Web Services (AWS),Microservices
beshoymoris,Manual Testing,SQL,Selenium
bishoy-boules-668320164,Debugging,Web Development,Markup Languages
bishoyatif,Web Development,PHP,Software Development
catbit,English,Problem Solving,Project Management
dalia-mooh,Computer Science,Problem Solving,Microsoft Excel
dalia-saeed-3804a7147,.net,HTML,HTML5
daliaihab,Vue.js,Presentation Skills,Web Design
deena-elmenshawy-9b8481194,Cypher Query Language,Docker,MongoDB
derbalajr,JavaScript eXtension (JSX),React.js,Gitlab
devahmedemad,iOS Development,Algorithms,Artificial Intelligence (AI)
devibrahimhamed,Design Patterns,Software Development,Freelancing
dibo,Express.js,REST APIs,Unit Testing
dilawar,Large Language Models (LLM),Big Data,Management
dina-adel-shalabi-39a926135,C++,Python (Programming Language),Algorithms
dina-alaa-20a5091a7,Kubernetes,Amazon Web Services (AWS),MySQL
dina-elkholy14,Database Development,REST APIs,Amazon Web Services (AWS)
dina-walid-06385b1b0,Full-Stack Development,Software Development,Machine Learning
dinakhorshed,Web Technologies,JavaScript Frameworks,Front-End Development
doaa-eldesoki,Node.js,Full-Stack Development,Programming
doaa-hindawii-b542a71b4,ASP.NET,Angular,ASP.NET Core
doaa-mohamed-samir-01031997,Testing,SQL,C#
doaa-yehia98,Passionate about work,addicted,Operative
duha-emad,Unity,Game Programming,Game Development
ehab-terra-271b3a23,Elasticsearch,Node.js,Back-End Web Development
elaria-adham-416928192,English,Research,Communication
elborolosymeeral,C++,Python,Back-End Web Development
elsayed-mustafa-848502158,Docker Products,Web Scraping,.NET Framework
emad2nd,Agile Methodologies,Software Design,Web Development
eman-abd-elaziz-5b480219b,Redux Thunk,GraphQL,strapi
eman-abdel-ghaffar-75587070,Apache Kafka,JavaScript,Go (Programming Language)
eman-elsayed,JavaScript,Angular,React.js
eman-hosam-18b2a4103,C#,C++,Java
eman-othman-26634914a,Business Intelligence (BI),Tableau,Front-end Development
eman-rafik-00973416b,Java,Android Development,Web Development
eman-saad-59739b164,English,Data Analytics,Teamwork
emanhussien95,Web Development,Database Design,Java
engkhaledmousa,Node.js,Software Architecture,Microservices
engyelshorbagy01,Software Engineering,Object-Oriented Programming (OOP),C++
eslam--adel,C#,.NET Core,Angular
eslam-abuelseaoud,Management,C++,Programming
eslam-adel-07,Proficient in C/C++ programming.,Excellent experience with microcontrollers’ architectures like AVR and STM32.,"Excellent experience with USART, SPI, I2C serial communication protocols."
eslam-adel-163694b2,Kubernetes,Linux System Administration,Amazon Web Services (AWS)
eslam-alaa96,Object-Oriented Programming (OOP),FLUTTER,xcode
eslam-ashraf-b70880216,Data Structures,Redux.js,Django
eslam-elassal-740201121,Deep Learning,Computer Vision,Natural Language Processing (NLP)
eslam-elgedawy,Software Development,HTML,Cascading Style Sheets (CSS)
eslam-khaled-ek,C (Programming Language),Embedded Software Programming,AUTOSAR Architecture and Drivers
eslam-khodair,PyTorch,Data Analytics,Python (Programming Language)
eslam-mamdouh-63655016a,verilog,c/c++,Scripting
eslam-samy-1210,Machine Learning,Python (Programming Language),C (Programming Language)
eslam-tayseer-38367b181,Java,Spring Boot,MongoDB
esmail-elmoussel,Node.js,Microservices,React Native
esmail-hany,Work Hardening,Egyptian Arabic,Microsoft Office
esraa-antar-b87b9517a,Google Cloud Platform (GCP),SQL,Azure DevOps
esraa-elbakly,C (Programming Language),Embedded Systems,Arduino
eyadhamza,Back-End Web Development,Web Application Security,Computer Science
fadiakhaled,AJAX,Express.js,Node.js
fady-abouelghit-083533b7,SQL,Matlab,python
fady-attia-01,Amazon Web Services (AWS),Redux,Software Development
fady-khalil-5a23961b0,C,C++,Linux
fady-noshy,Deep Learning,Computer Vision,Natural Language Processing (NLP)
fadyek,WebSocket,Amazon Web Services (AWS),cdk
fadyelhalfawy,TypeScript,Design Patterns,JavaScript
farah-mostafa-077810185,Engineering,Software,Data Structures
fatemaelzahraa28,Teamwork,Team Leadership,Strategic Planning
fatma-ali-773658a9,Google Cloud Platform (GCP),Microsoft Office,Leadership
fatma-elbadry-52a179115,Embedded Systems,Embedded C,"C,C++,C#"
fatma-moanes,Machine Learning,Big Data Analytics,Deep Learning
fatma-sarhan-a4405296,PostgreSQL,New Relic,Sonarqube
fayrouz-hussien,Redux.js,React.js,Vue.js
fayrouz-yehia,Artificial Intelligence (AI),Embedded Software,Electrical Engineering
fekri102,Software Development,Python (Programming Language),Pyhton
fouad-ayman-bb3803103,Linux,CMake,Sensors' calibration
gamal-saied-529337124,SystemVerilog,QA Engineering,VHDL
gehad-mohammed,OpenStack,C (Programming Language),GitHub
george-wageeh-047244156,Kubernetes,Docker,Red Hat Linux
ghada-mohamed-a59459211,Teamwork,Problem Solving,Deep Learning
ghareeb-elshaikh-a0a750134,HTML,CSS,C++
gsagomaasayedismail,.NET Framework,Azure DevOps Server,Bootstrap
habiba-ahmed-ab41a6193,C (Programming Language),Embedded Systems,Embedded C
habiba-maziad,Python (Programming Language),C++,C#
habibamahmoud,C++,C,Python (Programming Language)
hadeer-ahmed-43b875102,WordPress,Java,Systems Design
hafez-a-elmohsen-7601aa16,English,JavaSE,Java
hagar-ali-5a484918b,Matlab,Linux,TCL
haidyelnahass,Cascading Style Sheets (CSS),Flutter,Oracle Database
hajar-omar-460394118,REST APIs,JavaScript,Angular 2
halaelsaka2,React.js,Node.js,JavaScript
halaemad,Java,Embedded C,HTML
hamzafouad,Algorithms,Problem Solving,Software Development Life Cycle (SDLC)
hana-magdy-mohamed-08279b1b9,Machine Learning,Python (Programming Language),C++
hanan-shaaban-012416147,3rd Party Integrations,Google Analytics,Celery
hassan-gameil-023017a1,JBoss Application Server,Tomcat,Object-Oriented Programming (OOP)
hassan-osama,Problem solving,C++,SQL
hayamsaleh,Object-Oriented Programming (OOP),Node.js,Microsoft Office
hazem-amgad-75a36b221,English,Communication,Problem Solving
hazem-el-sherif-118083139,Bootstrap,Android Development,Java SE
hazem-emad-a1a8891b2,React Native,JavaScript,Object-Oriented Programming (OOP)
hazem-khaled-951a991b2,Safe C programming,Software Development,Component Design
hazem-mamdouh-fekry-979534ab,TensorFlow,MLOps,Tableau
hazemkak,Domain-Driven Design (DDD),Apache Kafka,Django
heba-abdelhakam,Python (Programming Language),Data Visualization,Data Analysis
heba-abdelnasser,GitHub,Visual Studio,Software Testing
heba-atef-322790223,C++,Project Management,Public Speaking
heba-fathy-younis-01871625,Python,Statistics,Data Visualization
heidi-ashraf,React.js,Node.js,JavaScript
heidy-hazem-90053616b,Machine Learning,Big Data,Streaming
hemdan99,JavaScript,Problem Solving,C++
hend-ibrahim,C (Programming Language),Embedded C,Microcontrollers Interfacing
hesham-aly,iOS Development,OOP,RxSwift
heshamelbahey,Software Development,Swift,C#
heshammansourisamil,Linux,Python (Programming Language),Problem Solving
hkhairy,C#,Unit Testing,Git
hodaragaie,Docker,Software Design Patterns,Microservices
hosamasaad,Software Development,DevOps,Amazon Web Services (AWS)
hosametm,Laravel,JavaScript,HTML
hossam-ashraf-a682921ab,JavaScript,PHP,MySQL
hossam-elghamry-035180164,Front-End Development,Cypress,Team Management
hossam-khir-allah,Data Science,Object-Oriented Programming (OOP),Statistics
hossam-salah-emam,Strategic Planning,Project Management,Self Learning
hossammohamed236,Linux,Bash,Python (Programming Language)
hossammourad,Microservices,JavaScript,AngularJS
husseinfadl,Algorithms,Software Development,Machine Learning
husseinraoouf,Software Architecture,Back-End Development,DevOps
hussienibrahiem,C++,Algorithms,Data Structures
hzmessam,Software Development,JavaScript,TypeScript
iahmedmaher,Web Development,Data Centers,Cloud Computing
iar96,C++,Neural Networks,Digital Image Processing
ibrahim-aboalsoud,Ionic Framework,Angular,JavaScript
ibrahim-ahmed-1106,Computer Science,Software Development Life Cycle (SDLC),Computer Engineering
ibrahim-ali-mo,Cypress,Jasmine Framework,Web Servers
ibrahim-elsebaie,Teamwork,C++,Microsoft Office
ibrahim-fouad,Azure DevOps Server,Blazor,Angular Material
ibrahim-hassan-599935123,تطبيق أنجولارجس,MySQL,PHP
ibrahim-sobh-phd-8681757,C#,OOP,Java
ibrahimabdelaziz1,C++,Computer Vision,Deep Learning
ibrahimelsaidsaad,Unit Testing,Bazel,Continuous Integration
ihab-ahmed,Project Plans,Software Quality Assurance,Software Quality
ihab-tag,Product Road Mapping,Competitive Analysis,Stakeholder Management
islam-ahmed-54a2b899,Verilog,VHDL,System Verilog
islam-dawood-85230918,XML,Hibernate,Servlets
islam-elmas,DevOps,Amazon Web Services (AWS),Microsoft Azure
islam-elsayed-52639a41,Solr,Elasticsearch,Amazon Web Services (AWS)
islam-emad-7a0152205,JavaScript,CSS,Typescript
islam-hassan-b733aa23,Algorithms,Data Structures,C++
islam-muhammad13,Application Programming Interfaces,SQL,C#
islammahamed,Algorithms,Back-End Web Development,Microservices
islammoneer,Docker,HTML,CSS
islammuhamed,Git,GitHub,Jasmine Framework
islamshafeek,Software Development,CAN bus,Embedded Software
ismailsamiribrahim,Databases,Linux,C++
israa-ashraf-716880143,Test Automation,Agile Methodologies,Teamwork
israa-shawkii-ibrahim,Google Cloud Platform (GCP),Git,Terraform
jaylan-khaled-a5a33a146,Engineering,Language Development,Communication
kamal-aly-346137115,C++,Web Development,C#
kamel--mohamed,ASP.NET,AWS Lambda,AWS SQS
kareem-osama-a9b4ba1b1,C++,Problem Solving,Python
kareem-s-a6a5b4ba,Real-Time Operating Systems (RTOS),Atmel AVR,AUTOSAR
kariim8,iOS Development,Android Development,Flutter
karim-adnan-ba251a1a7,React.js,JavaScript,Cascading Style Sheets (CSS)
karim-ahmed-659737141,Python (Programming Language),JavaScript,Node.js
karim-el-azzouni-29002385,C++,Java,C
karim-nosseir,Data Structures,C++,Java
karim-yasser-36a80119b,JavaScript,HTML,AngularJS
karimatif33,Git,Workflow Management Systems,Information Systems
karimhisham,Artificial Intelligence (AI),Machine Learning,Deep Learning
karimmostafa0717,Arduino,C,Embedded C
kazafy-sayed-b2546693,Teamwork,English,Project Planning
kelawaad,Object-Oriented Programming (OOP),Machine Learning,Data Structures
keroleselkess43,Machine Learning,Python (Programming Language),SQL
kerolloz,Node.js,Ruby on Rails,Problem Solving
khaled-amgad-21040a200,Object-Oriented Programming (OOP),Databases,Software Development
khaled-mahmoud22,C++,Presentation Skills,ICDL
khaled-mansour-22a914184,Embedded Software Programming,Laravel,Arduino
khaled-mohamed-gamal-47723b151,Docker Products,Mathematics,Motion Tracking
khaled-nassar-2a129414b,Problem Solving,C++,Python (Programming Language)
khaled-sobhy-6b174b131,Time Series Analysis,Amazon Web Services (AWS),Machine Learning
khaledmustafa8,Ruby on Rails,MySQL,PostgreSQL
khaledsabry97,Project Management,Software Project Management,Android Studio
khalidhsoliman,Linear Algebra,Game Development,Unity
khalidzeiter,Agile Methodologies,User Experience (UX),Design Patterns
kirollos-georges-63b34b97,Test Cases,Android Testing,iOS Testing
kirollos-n,Elasticsearch,Teaching,Training
komtcho,Magento,PHP,JavaScript
leena-essam-368279162,SQL,Microsoft SQL Server,SQL Server Reporting Services (SSRS)
leena-morsi-48a390144,Java,Microsoft Office,Python
linah-omara,Software Engineering,Microsoft Office,Presenter
louees-nabil-944468100,SQL,C#,Object-Oriented Programming (OOP)
m-elsaeed,Angular,Java,Algorithms
m-okashaa,Object-Oriented Programming (OOP),C#,.NET Framework
maboelnour,C,Java,Ruby on Rails
maged-mo,Swift,iOS,Xcode
maged-rifaat,ARM Architecture,Bluetooth Low Energy,Internet of Things (IoT)
mahamed-yehia-a9497213b,JSON,Entity Framework (EF) Core,ASP.NET Web API
mahmoud-abd-el-mawgoed-23b55218b,Verilog,C++,SystemVerilog
mahmoud-abdelmalek,Bootstrap,Customer Relationship Management (CRM),Financial Reporting
mahmoud-adel-mansour,php,SQL,RHL Adminstrator
mahmoud-afifi-b7129b95,jQuery,REST APIs,RESTful WebServices
mahmoud-ahmed-01750618a,VHDL,verilog,Field-Programmable Gate Arrays (FPGA)
mahmoud-ahmed-682939142,Android,Web Development,Testing
mahmoud-amin-7a4a09100,Java,Android,iOS Development
