User,Skill1,Skill2,Skill3
mahmoud-biltagy,Adaptive AUTOSAR,Yocto project,Embedded Systems
mahmoud-diab-ios,iOS Development,Swift,Software Development
mahmoud-elqady-8297a6262,Front-End Development,HTML5,Single Page Applications
mahmoud-elsehly-a07089126,Microsoft Dynamics AX,Microsoft SQL Server,ASP.NET MVC
mahmoud-eltantawy,Embedded Systems,C (Programming Language),Mobile Communications
mahmoud-elzeiny-44ba4917a,Python (Programming Language),Deep Learning,Kaldi
mahmoud-emam-65737a31,C#,C++,OOP
mahmoud-esmail,Web Development,Web Scraping,Data Analysis
mahmoud-hawas,SDKs,Real-time Data,Android Jetpack
mahmoud-magdy-ayoub,C (Programming Language),Embedded C,C++
mahmoud-moawad-5a32a5100,Algorithms,Research,Problem Solving
mahmoud-mohasseb-9b8b514,Requirements Analysis,Business Analysis,Project Management
mahmoud-salah-2b0235101,Java,OOP,HTML
mahmoud-shawky,Software Development,Android Development,Java
mahmoud-yehia-512991b9,HTML,Cascading Style Sheets (CSS),JavaScript
mahmoud-youssef97,API Development,ASP.NET Core,Full-Stack Development
mahmoudabdulfatah,Amazon Web Services (AWS),Linux,"Devops Best Practices: CI/CD pipelines ""jenkins - CircleCI"""
mahmoudihefny,C#,REST APIs,Problem Solving
mahmoudkkandil,Linux,C (Programming Language),GitHub
mahmoudmohsen213,Software Systems Engineering,Software Design,Web Development
mahmoudsabra1,Printed Circuit Board (PCB) Design,Arduino,C
mahmoudzidan,HTML,Java,C++
mai-elshiashi,Data Structures,python,Django
mai-mohamed-75a4b617b,Engineering,Responsive Web Design,Web Design
mai-mohamed-sadek-0783b436,Java,SQL,Object-Oriented Programming (OOP)
majidzeno,Microcontrollers,Matlab,Graffiti Block Notes
manar-anwar,Communication,Presentation Skills,Internet of Things (IoT)
manar-ramadan,ReactJs,TypeScript,React Hooks
manssorr,redux,firebase,Creative Writing
maram-hesham-49a4a5183,Python (Programming Language),HTML,Cascading Style Sheets (CSS)
marammohammad,Python,SQL,Programming
mariam-awad-a7b64598,Python (Programming Language),Spring Boot,Spring MVC
mariam-el-seddiek,Java,JavaScript,Python (Programming Language)
mariam-fahmy-2aa2b8176,C++,Linux,Bash
mariam-gad,Amazon Web Services (AWS),Docker,Kubernetes
mariam-samir-b200b4176,C++,Python (Programming Language),Localization
mariammuhammed,Object-Oriented Programming (OOP),C (Programming Language),C++
mariamyehya,Project Management,IT Management,Online Marketing
mariem-muhammed-1009801b1,Search Engine Optimization (SEO),Google Analytics,Nuxt.js
marina-eldib,Query Writing,Python (Programming Language),Natural Language Processing (NLP)
marina-magdy,Bootstrap,Web Design,JavaScript
marina-wafik-7294731b4,Machine Learning,Data Science,docker
mario-sherif-84128a138,Problem Solving,Software Development,Self Learning
mark-wagdy-4b9350181,Cloud Computing,Information Technology Planning,Computing
marwa-a-alnashar,ASP.NET,C#,AngularJS
marwa-abdelbasit-891201148,Vue.js,JavaScript,Web Design
marwa-abdullah,C++,Communication Protocols,Object-Oriented Programming (OOP)
marwa-khaled-9837ab61,Node.js,React Hooks,React.js
marwa-magdy-66b910166,Ability to Work Under Pressure.,Time Management,Technical skills
marwan-m-sallam,Web Development,Mobile Applications,Node.js
marwan-mohsen-b25610170,Python (Programming Language),java,Object-Oriented Programming (OOP)
marwankamelmansour,Leadership,Algorithms,Machine Learning
marwansaadsalem,Microsoft Azure,Kubernetes,Google Kubernetes Engine (GKE)
maryam-ahmed-065b9823,JavaSE,Servlets,JSP
maryam-elderiny-6812bb1b6,Object-Oriented Programming (OOP),Design Patterns,C#
maryam-mohamed-707742219,Agile Methodologies,Adobe Photoshop,JavaScript
maryammehab,Web Development,Web Design,Object-Oriented Programming (OOP)
maryamshalaby,Programming,C++,C#
matef99,Amazon Web Services (AWS),NestJS,Node.js
mayar-nour-3230b0153,Software Testing,Object-Oriented Programming (OOP),Python (Programming Language)
mayy-ahmed,Training,Microsoft Excel,Social Media
melhelbawy,Front-end,JavaScript,jQuery
meltabbakh,Java,C,Problem Solving
menna-allah-ahmed-391bb31a3,C++,C (Programming Language),Python (Programming Language)
menna-el-gedawy,Helm Charts,Kubernetes,Amazon Web Services (AWS)
menna-fadali998,Java,JavaScript,MERN Stack
menna-farid-24b533b6,AngularJS,HTML,JavaScript
menna-muhammad,MVC,MySQL,AngularJS
mennabadr,Java,Android Development,Project Management
mennamos,Front-end Development,React.js,Software Development
merna-fayez,Databases,HTML,Computer Science
merna-zakaria-03017a187,TypeScript,"Vue.js, Vuetify, Vuex","Redux.js, Saga"
mervat-mosaad-596864a9,HTML,Microsoft SQL Server,Software Development
mfouad,Ogre3D,C++,.NET
mgelgazar,ASP.NET Web API,ASP.NET Razor,Sitecore
mheshamc137,C++,JavaScript,Node.js
michael-magdy-910260183,Microservices,GraphQL,TypeScript
michael-makram-30673640,JavaScript,Java,
michael-said-01b340174,Microsoft Office,Leadership,Project Management
micheal-abid-fekry-52a500184,Front-End Development,React.js,JavaScript
mina-maher-3523688b,Linux Server,Database Management System (DBMS),Hosted Microsoft Exchange
mina-maher-boutros,JSON,Quality Assurance,Selenium
mina-maher666,Mobile Applications,Android Development,Software Development
mina-malak-loutfi-2a397213b,AUTOSAR,Problem Solving,Embedded Systems
mina-n-w-s,Lego Mindstorms,Lego Robotics,Arduino
mina-nasrallah-a21b30122,App Store,Core Data,Combine
mina-talaat-03116020b,JavaScript,Object-Oriented Programming (OOP),React.js
mirette-maged-aa326a17a,C#,Azure Service Fabric,.NET Core
mmelzoka,JavaScript,Express.js,Node.js
mo-men-ahmed,C++,c,Python
moaazmoustafa,Python (Programming Language),JavaScript,Django
moabdelmegeed,Front-end Engineering,JavaScript Frameworks,JavaScript
moamen-hossam,Ruby on Rails,Java,C++
moamen-ihab-elsayed,Data Science,Software Development,Python (Programming Language)
moameneltouny,PHP,MySQL,Laravel
moataz-elsakkar,Object-Oriented Programming (OOP),Software Engineering,C# .NET
moataz-mansour-030a371bb,Flask,Authentication Systems,MySQL
moaz-lasheen,PyTorch,Git,keras
moealy97,React.js,JavaScript,Node.js
moeldeeb98,java,C++,PHP
moelnaggar14,iOS,iOS Development,Swift
moelzanaty3,JavaScript,Web Design,HTML
moemenalaa97,Public Relations,Electronics,Embedded Systems
moh-khattab,Jenkins,Oracle Database,PL/SQL
mohab-hossam-398487127,Technical Support,Computer Hardware Troubleshooting,Customer Service
mohab-mohamed-6804aa139,Project Management,Leadership,People Management
mohabelhawawshy,Infrastructure as code (IaC),Redis,Linux
mohamed-a-mahrous,Python,Deep Learning,Machine Learning
mohamed-abdelhakeem-824681ab,Microsoft Office,C++,C
mohamed-abdelmaksoud-sw-engineer,Kafka,Informatica PowerCenter,Data Management
mohamed-adel-973621135,JavaScript,Node.js,MongoDB
mohamed-adel769,Jenkins,Tekton CI/CD,Spring Framework
mohamed-ahmed-salman-147816124,Python (Programming Language),PyTorch,TensorFlow
mohamed-ashraf-07340212a,Teamwork,Team Leadership,Linux
mohamed-atef-2020,Argocd,Gitlab,Github action
mohamed-atef-a89a8b33,Professional Skills,Communication,Technology Software
mohamed-ayman-843920116,English,C++,Cadence Virtuoso
mohamed-dalam,C++,QML,Qt
mohamed-effat,.NET Core,Problem Solving,Microsoft SQL Server
mohamed-el-ghannam-03230814a,pytest,TensorFlow,Airflow
mohamed-el-mansy-833975165,PHP,Laravel,Symfony Framework
mohamed-el-saeed-3a1130224,Object-Oriented Programming (OOP),C++,MySQL
mohamed-elbeih-765a36b8,Data Analysis,Data Analytics,Machine Learning
mohamed-elkayal-a6535b34,Apache Kafka,Spring Boot,Short Message Peer-to-Peer (SMPP)
mohamed-elsayed-699044173,JavaScript,HTML,git
mohamed-emad-2572791a9,Angular,JavaScript,TypeScript
mohamed-gaballah-843a97197,Algorithms,Data Structures,Mobile Application Development
mohamed-gabr-a306971b1,Microsoft Azure Machine Learning,Parameter Efficient Learning Techniques in Transformer Models,Machine Learning
mohamed-gamal-el-din-90b83958,Testcase Writing,Software Testing,Object-Oriented Programming (OOP)
mohamed-gamal94,Machine Learning,Deep Learning,Computer Vision
mohamed-hammad-a720a622,Project Management,Quality Management,Qualitative Research
mohamed-hassan-0a2370147,Laravel,React.js,WordPress
mohamed-hassan-85bab6196,Engineering,English,Web Development
mohamed-ibrahim-elgarhy,Docker,Kubernetes,Jenkins
mohamed-islam-760b4a183,dbt,Machine Learning,Data Analysis
mohamed-khamis-10,Project Management,Machine Learning,Artificial Intelligence
mohamed-monem-abo-elela-9a4a44223,Microcontrollers,Embedded Software Programming,Computer Architecture
mohamed-mostafa-abdallah-76956828,PL/SQL,JSF,JSP
mohamed-mrzok-52722b74,Objective-C,PHP,OOP
mohamed-osama-eliwa-2139b7163,Software Development,C++,Python (Programming Language)
mohamed-ragab-programmer,English,Computer Science,تطوير الويب
mohamed-saidd,html,Java,SQL
mohamed-samir-salem,MVP - VIPER,Model-view-viewmodel (MVVM),Unit Testing
mohamed-samy-08531a16a,Microsoft authentication,Bitbucket,REST APIs
mohamed-shawky,Machine Learning,Computer Vision,PyTorch
mohamed-sief-74006115,Apache Spark,Amazon Web Services (AWS),"Extract, Transform, Load (ETL)"
mohamed-sobhy-074311a8,React.js,C++,Java
mohamed-taher-486811191,C++,Android Development,Object-Oriented Programming (OOP)
mohamed-talaat-1a4521155,VHDL,Gate Level Simulation,Software Quality Assurance
mohamed-thabet-8b205710b,C++,C,Computer Graphics
mohamed-waheed-2074a4213,Problem Solving,English,Research
mohamed-zidan-a8003a167,Test Automation,API Testing,Amazon Web Services (AWS)
mohamedalaa4j,SQLite,Google Geofence API,Canvases
mohamedalharouni,C++,C (Programming Language),TypeScript
mohamedashraf170,Elasticsearch,Node.js,MongoDB
mohamedawwad-sd,Linux,Amazon Web Services (AWS),Object-Oriented Programming (OOP)
mohameddarwesh,Front-End Development,React.js,JavaScript
mohameddorgham,Troubleshooting,IT Operations,Project Delivery
mohamedehabde,Data Architecture,Data Modeling,Data Engineering
mohamedelbastawesy,HTML,SQL,Java
mohamedglal58,Asp.Net MVC5,Asp.Net Web API,LINQ &amp; Entity Framework
mohamedhashem,Databases,Back-End Web Development,Language Integrated Query (LINQ)
mohamedmagdymostafa,TypeScript,Node.js,Microservices
mohamedsadek88,.NET Core,C#,Android Development
mohamedsalah4,C#,ASP.NET,Transact-SQL (T-SQL)
mohamedtaman,Innovation Management,TOGAF,Amazon Web Services (AWS)
mohammad-ismail-b6771560,Problem Solving,C++,C#
mohammad-shaker-84117668,Data Structures,C++,Java
mohammad1722,C++,Python (Programming Language),Robotics
mohammed-abdullah-52b700121,.NET Framework,REST APIs,Low code
mohammed-akl-8567a61a7,Programming Languages,Front-end Development,Image Processing
mohammed-al-ammary-0b591763,Cybersecurity,Penetration Testing,Metasploit
mohammed-ameen-7bbb5a198,Python (Programming Language),Machine Learning,Software
mohammed-kelany-171486165,التحكم في الجودة,Scrum,تحليل البيانات
mohammed-raafat,Web Development,Programming,Research
mohammed-rammah-2b6358214,C#,Object-Oriented Programming (OOP),.NET Framework
mohammed-saad-073772155,Artificial Intelligence (AI),Algorithms,Time Series Analysis
mohammed-salah-093a85a7,Java,Oracle ADF,Oracle Database Administration
mohammedalii,Unity,Game Development,C#
mohammedhossam,NoSQL,REST APIs,Java
mohsenmoawad,AUTOSAR,Automotive SPICE (ASPICE),Computer Architecture
mona-mamdouh,Computer Vision,Image pre-processing,YOlOv5
mona-shafiq-pmp-itil-68b435b3,Documentation,Management Of Direct Reports,Automation
monamustafa7,Cascading Style Sheets (CSS),Python (Programming Language),SQL
moqbel-elseaedy-92b2a913b,Problem Solving,Python (Programming Language),Odoo
morsi-mohsen-1a2a32171,OOP,Python,Machine Learning
mosaosama,C++,Java,OOP
mostafa-abdelnasser,Kubernetes,Jenkins,Ansible
mostafa-ahmed-moh,Web Development,Java,JavaScript
mostafa-alaa-gharieb,Industrial Internet of Things (IIoT),Machine Learning,High Performance Computing (HPC)
mostafa-ayman-261949155,iOS,CocoaPods,swift
mostafa-eissa-16356b12a,python,Machine Learning,Deep Learning
mostafa-gamal-badawy,Machine Learning,Computer Vision,Reinforcement Learning
mostafa-hassan-097,Agile Methodologies,Cloud Computing,Continuous Integration and Continuous Delivery (CI/CD)
mostafa-hassan-backend-dev,API Development,Linux,Front-End Development
mostafa-hazem-omar,Machine Learning,C (Programming Language),Data Analytics
mostafa-kashwaa,Dart,Flutter,Java
mostafa-khalid-0129b4149,JavaScript,Node.js,Web Development
mostafa-mahmoud-423821205,ADCs,V-Model,Bluetooth
mostafa-mahmoud-72a56b168,Laravel,Symfony Framework,Magento 2
mostafa-nassar-57a84062,Engineering Management,Agile Project Management,Software Development
mostafa-saad-699b3631,HTML 5,CSS3,JavaScript
mostafa-shahin13,Python (Programming Language),C (Programming Language),Embedded Software
mostafa-teba-4b7a4318a,"JEE (Servlet , JSP , JSF)","Maven , Git , Docker",Springboot
mostafa-wael,Nginx,Jira,Linux System Administration
mostafaarefaat,Java,OOP,Microservices
mostafakandil86,SQL,Java,OOP
mostafakassem1,VHDL,C++,Python (Programming Language)
mostafamohammed05,Retrofit,GraphQL,SQLite
motazmohamed,Application Development,Strategic Planning,Programming
moustafamohsen,WordPress,AngularJS,Scrum
mtaherelkholy,Apache Kafka,Elasticsearch,Java
mu5tar,C (Programming Language),Programming,Embedded Software
muhamed-khedr,Problem Solving,C++,Data Structures
muhameddaahmed,Microservices,JSON,OpenShift
muhammed-aly,Flutter,ADO.NET,C++
muhammedatif,Celery,Redis,Unit Testing
nabil-salman-851037164,Microsoft Office,Microsoft Excel,Leadership
nada-ahmed-09a891158,Java,JavaScript,C++
nada-dia,C/C++/C#,Java,openCV
nada-elkhamy,C++,Photography,NI Multisim
nada-hamdi-345676b3,Java,Node.js,JavaScript
nada-mohamed-b706491bb,Manual Testing,Bug Tracking,API Testing
nader-nabil,C (Programming Language),Embedded C,Microcontrollers
nadertarek,Linux,Google Cloud Platform (GCP),Python (Programming Language)
nadienrashad,Product Analysis,Business Intelligence (BI),Problem Solving
nadin-el-hanafy-b20533187(1),ANTLR,MERN Stack,MySQL
nadin-el-hanafy-b20533187,ANTLR,MERN Stack,MySQL
nagham-alaa-54878a125,Microsoft Office,C++,Leadership
nahed-sayed-528749b6,Statistics,Data Visualization,Scikit-Learn
naiera-magdy-3011,Customer Relationship Management (CRM),Microsoft Dynamics CRM,ASP.NET
nermeen-hamada-abdelhamid-7a1562169,SQL,Engineering,Project Management
nermine-georges-a833a9140,Bug report,Source tree,Elastic search
nesma-mohamed-b42445142,Front-end Development,ASP.NET,angulare 4
noha-mohamed-ali(1),Git,Objective-C,Swift
noha-mohamed-ali,Git,Objective-C,Swift
noha-saeed,English,Microsoft Excel,Microsoft Office
noha-samir-b07468138,Node.js,c++,c#
norhan-elsayed-8055b9123,AngularJS,TypeScript,Unit Testing
norhanatef,Software Development,Object-Oriented Programming (OOP),Problem Analysis
nouran-adel-flaifel,Google Cloud Platform (GCP),Machine Learning,Data Visualization
nourhan-elsherief-5270b185,Character Animation,Game Development,Unity3D
nourhan-hosny(1),iOS Development,MVC,CocoaPods
nourhan-hosny,iOS Development,MVC,CocoaPods
nourhan-mourshdy-6975081b8,Network Administration,Linux System Administration,VMware NSX
nourhanelnaggar,Engineering,English,Research
nourhansaeed,Microsoft Office,HTML,CSS
oaik,Algorithms,Data Structures,C++
ola-ibrahim-32886a163(1),Object-Oriented Programming (OOP),Problem Solving,SQL
ola-ibrahim-32886a163,Object-Oriented Programming (OOP),Problem Solving,SQL
omar-3,Matlab,HTML,Java
omar-abdel-halim-452b821a5,Front-End Development,TypeScript,Software Development
omar-abubakr-902900189,Kotlin Coroutines,iOS Development,AngularJS
omar-adel-808414145,Front-end Coding,Adobe XD,Node.js
omar-ahmed-0999b518b,Shell Scripting,Apache NiFi,Hadoop
omar-ehab-0b1512118,Cross-cultural Communication Skills,Microsoft Office,Presentation Skills
omar-el-masry-375083158,Analog Circuit Design,VHDL and Verilog,"C++,C,java programming"
omar-elshrief-2a59a7220,Web Applications,AngularJS,JavaScript
omar-gharib-a593279a,Testing,Software Testing,Java
omar-hassan-8b1869137,Figma,styled-components,TypeScript
omar-hatem-993015118,Continuous Integration and Continuous Delivery (CI/CD),C#,SWIG
omar-hazem-57317413a,Linux,Software Development,Computer Architecture
omar-kharouba,java,Algorithms,Data Structures
omar-nagah-ba21111aa,C (Programming Language),Engineering,Linux
omar-osama-632b65b8,ROS,python,linux
omar-salah-ab6553185,Wso2,computer graphics,Android Development
omar97cs,Reverse Engineering,Python,Android SDK
omarfasseh,C++,Linux,C (Programming Language)
omarnael,Software Development,Machine Learning,Deep Learning
omarosamasobeih,Software Architecture,Software Development,Competitive Programming
omarradwan1,Legacy code,App Store,Cocoa
omarsamy09,NestJS,Continuous Integration and Continuous Delivery (CI/CD),NoSQL
omarsayed12,Java,Angular,Spring
omniaeladawy,REST APIs,Tailwindcss,Graphql
omniia-mohyee,C++,Python (Programming Language),C#
osama-fathy,Problem Solving,C++,Training
osama-hamdy-47380313b,Vector Cast,Automotive SPICE (ASPICE),Unified Modeling Language (UML)
osama-hamed-3a588b149,Telecommunications,Software Development,DevOps
osama-nabih,English,C++,Assembly x86
osamamagdy174,Python (Programming Language),Linux System Administration,Jenkins
osamanasr22,PHP,Laravel,Node.js
pancee-sawmaa-365058147,Data Analysis,Statistical Data Analysis,Machine Learning
passant-osama,React.js,Redux.js,TypeScript
paula-mamdouh-13ba9a112,REST APIs,Software Development,Object-Oriented Programming (OOP)
peter-wagih,Java,Android,Android Development
pishoy-emad-p19980908,C (Programming Language),Problem Solving,AVR
r2ba7,Signal Processing,Embedded Systems,Digital Signal Processing
radwask,Natural Language Processing (NLP),SLAM,Visual SLAM
rafaeladel,OOP,Java,Android Development
raghda-elhout-179296163,C++,C#,Python
rami-adel-64080b1a4,Operating Systems,Computer Architecture,German
ramiabdelmoneam,Android Development,JavaSE,MySQL
ramy-mehana-6075b2114,Research and Development (R&amp;D),Agile Methodologies,Software Development
rana-mahmoud-508378201,Machine Learning,Computer Vision,Debugging
rana-mohamed-0295601b6,C (Programming Language),C++,
rana-wael-910445117,c#,c++,web
randa-islam-diab-5b79a4221,Engineering,Software Testing,Software Quality Control
rania-wael-1638a7149,Computer Engineering,Information Technology,Internet of Things
raniaelkatatny,Web Development,Software Development,Programming
ranya-helmy-333b48142,Information Technology,Git,JavaScript
redamaher,Git,Python (Programming Language),Bash
redatawfik,Java,Android,gRPC
reem-hossam-964519138,React.js,Node.js,MongoDB
reem-othman,Git,C++/CLI,Python (Programming Language)
reham-gamal-931244149,ISTQP,Test Automation,Selenium
reham-mohamed-10794b155,Object Oriented Design,C++,Java
rewaidamohamed95,WebSphere Message Broker,WebSphere MQ,ESQL
riham-wazeer-88745393,Spring Boot,JPA,SQL
rimon-adel,Algorithms,Backend,Nuxt.js
roaagamal10,Data Analysis,Machine Learning,Data Visualization
rokia-sayed-elboshy-290085150,SQL,Machine learning,Computer Vision
saadbadr,Machine Learning,Teamwork,Engineering
sagda-bkr-5a5b24141,ASP.NET MVC,HTML5,HTML
salah-ashraf-3129716b,Machine Learning,Research,Speech Recognition
salah-mostafa-136310169,Creative Problem Solving,Algorithms,Data Structures
saleh-zakarea,Presentation Skills,Microsoft Word,Microsoft PowerPoint
sally-youssef-679743182,Teamwork,Time Management,Java
salma-hanafi,C#,.NET Framework,LINQPad
salma-hassan,PHP,Python (Programming Language),Problem Solving
salma-osama-12596sall,Scrum,GraphQL,Apollo GraphQL
salmaelbess,Python (Programming Language),C++,Artificial Intelligence (AI)
salmamkhattab,.NET Framework,C#,Chatbot Development
salwa-al-bakri-392717183,Software Testing,,
samah-abu-shamma-47b962158,C++,Object-Oriented Programming (OOP),SQL Server Reporting Services (SSRS)
sameh-mostafa-1539b9a3,Python,Data Science,Machine Learning
samer-mohamed-a69839148,Ruby on Rails,Java,Apache Spark
samiiir96,Programming,C++,OOP
samira-saad-13241b167,JavaScript,React js,Redux
samy-escarous,Web Development,PHP,MySQL
sandra-soliman-545129224,Xcode,iOS,Object-Oriented Programming (OOP)
sara-abdo-5bb67b171,Front-end Development,,
sara-ahmed-cufe,Problem Solving,Object-Oriented Programming (OOP),C++
sara-alaa-b258b291,Teamwork,Data Structures,Nonprofits
sara-atef-b9517012b,HTML,css,jQuery
sara-elmaghraby,Presentation Skills,Desktop Application Development,Front-end Development
sara-maged-b919871a0,Problem Solving,C++,Java
sara-mamdouh-4b62a8140,Storybook,React query,Object-Oriented Programming (OOP)
sara-nasr-maher,Go (Programming Language),C (Programming Language),Kubernetes
sara-yasser-02bb69214,C++,Python (Programming Language),Object-Oriented Programming (OOP)
sarah-samir-saad-7874a414b,Azure DevOps,API testing (swagger),Testing
seif-el-din-ashraf-7149321a3,SASS,WordPress,Ant Design
seif-eldin-elsaeed-8b0572182,Machine Learning,C++,Github
shaban-abdelfatah-9050a548,Java Enterprise Edition,Java,Tomcat
shaden-ahmed-sadek,Manual Testing,Automation test,Python
shady-eldawy-636a441b3,Ruby on Rails,MySQL,Laravel
shady-mohamed,Robotics,Embedded Systems,Computer-Aided Design (CAD)
shehab-alaa-4b29ba182,Android Development,Java,Kotlin
shehab-eldean-ahmed-1b563b130,PHP,Laravel,MySQL
shehab-hosny,Problem Solving,Data Structures,Algorithms
sherefshokry,iOS Development,swift4,C++
sherien-doma,Teamwork,Problem Solving,Microsoft Office
sherif-ashraf-78599b176,Agile Development,Continuous Integration and Continuous Delivery (CI/CD),Databases
sherifmedhat,Software Engineering,Web Development,Social Entrepreneurship
shimaa-el-maghraby,React.js,Responsive Web Design,Bootstrap
shimaa-ramadan-04422115a,Spring Framework,Microservices,Spring Cloud
shimaa-sayed,HTML,CSS,CSS3
shorouk-nabil-shokr-b5186571,SQL,Java,JavaScript
shrok-ayman-zain-472590188,Software Development,Express.js,Back-End Web Development
shrok-yahya-40450a1aa,Salesforce.com Administration,Salesforce.com Development,JavaScript
taha-gamil-448b4249,Palo Alto Networks Firewall,Fortigate,System Administration
tarek-ibrahim-eltorky-b77a5988,Programming,C,C++
tarek-ragab,CPP,C (Programming Language),Internet of Things (IoT)
tarek-talaat-9bb5b1a6,SQL,Java,Matlab
tarekdawoud,Software Development,Test Automation,Software Engineering
tayelno,JavaScript,Front-end Development,Software Development
tokaehab,React.js,Problem Solving,Leadership
waelelsafty07,Docker,Redis,Python (Programming Language)
walaa-abdallah94,JavaScript,Git,Linux
walaa-ihab-100055163,Deep Learning,Web Development,C++
yara-mahmoud-0a72861aa,HTML,Cascading Style Sheets (CSS),Bootstrap
yashraf74,OutSystems,Python (Programming Language),C#
yasmeen-abdelaziz,R (Programming Language),C (Programming Language),Machine Learning
yasmin-eltahan-323b82168,"Extract, Transform, Load (ETL)",SQL,Data Analysis
yasmina-salah,Network Engineering,Red Hat Linux,Amazon Web Services (AWS)
yasmina-tarek-220a06173,Web Development,Embedded Systems,Public Speaking
yasmine-arafa-16511a199,Node.js,Amazon Web Services (AWS),PHP
yasser-mohamed-15317b147,C,Embedded C,Embedded Systems
yasser-sobhy,Software Development,Ruby on Rails,JavaScript
yasserelsaid,Javascript,React.js,Git
yassin-dinana,Hadoop,Cloud Infrastructure,Problem Solving
yehia-elsayed-396398177,Web Development,Spring Framework,SQL
yomna-abdulwahab,Python (Programming Language),Object-Oriented Programming (OOP),Agile Methodologies
yomna-fathy-52813a119,R,Python (Programming Language),Machine Learning
yomna-raouf-392440168,Front-End Development,Continuous Integration and Continuous Delivery (CI/CD),Amazon Web Services (AWS)
yomna-safaa-el-din,Teaching,Research,Computer Vision
yomna-tarek,Web Development,C++,React.js
yosrym93,Linux Kernel,C (Programming Language),C++
yousef-emad-6718b01b2,Communication Protocols,Universal Asynchronous Receiver/Transmitter (UART),Embedded Systems
yousof-osama,Verilog,C (Programming Language),Xilinx Vivado
youssef--ezzat,3rd Party Integrations,PostgreSQL,Ruby on Rails
youssef-abdelhameed,Marketing,Teamwork,Leadership
youssef-ali97,API Development,Database Design,Redis
youssef-gamal,Algorithms,azure,Python (Programming Language)
youssef-mazen-2a6a441b4,English,Engineering,Data Science
youssef-mostafa2000,Algorithm Design,Data Structures,Object-Oriented Programming (OOP)
youssefgalal,C (Programming Language),Verilog,VHDL
youssefhussein,Software Development,Java,Programming
youssefmagdi,React.js,Redux,JavaScript
youssefsfahmy,Java,Complex problem solving,Object-Oriented Programming (OOP)
youssephahmed,Machine Learning,Neural Networks,python
yussef-ayman,FinTech,Machine Learning,Computer Science
yusuf-abdelmoniem-b8934716a,Team Workshops,Academies,Engineering
yusuf-awad,Pandas (Software),Microsoft Azure,Python (Programming Language)
zeyad-el-halawany-543753235,Requirements Analysis,Requirement Specifications,Software Requirements
zeyadetman,MongoDB,Next.js,C++
zeyadosama,High Performance Computing (HPC),C/C++,Parallel Frameworks
ziad-amerr,docker,Python (Programming Language),Computer Vision
ziad-ayman-63645b115,Software Development,.NET Framework,Angular
ziad-madkour,Java,Perl,C#
zienabmuhammad,Front-end Development,Web Design,HTML
zyad-ahmed-b588681b2,Verilog,C (Programming Language),C++
