Organization,Role,Date,User
Logistics Member,SCCI-CU,Jul 2012 - May 2013 · 11 mos,mohamed-gamal-el-din-90b83958
IGX GCDP,AIESEC,Apr 2013 - Sep 2014 · 1 yr 6 mos,mohamed-gamal-el-din-90b83958
Partnership Development,AIESEC in Egypt,Mar 2021 - Jun 2021 · 4 mos,mohamed-islam-760b4a183
Research Department Specialist,GUC Innovators,Jun 2019 - Jun 2020 · 1 yr 1 mo,mohamed-islam-760b4a183
Machine Learning Specialist,GUC Brain,Feb 2020 - Apr 2020 · 3 mos,mohamed-islam-760b4a183
Volunteer,Lebaladna Charity and Development Foundation,Jun 2016 - Jan 2018 · 1 yr 8 mos,mohamed-osama-eliwa-2139b7163
Conference Volunteer,NeurIPS,Oct 2020 - Dec 2020 · 3 mos,mohamed-shawky
Vice-Head of Autonomous Team,Cairo University Eco Racing Team,Sep 2018 - Feb 2019 · 6 mos,mohamed-shawky
Machine Learning Instructor,IEEE Cairo University Student Branch,Sep 2017 - Jul 2018 · 11 mos,mohamed-shawky
Academic member,Model of United Kingdom parlement (MUP) - Alexandria,Jan 2014 - Jan 2015 · 1 yr,mohamedashraf170
Team leader at Young Sport leaders 2012,British Council,Jan 2012 - Jan 2014 · 2 yrs,mohamedashraf170
Course Instructor,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Apr 2015 - Present · 8 yrs 1 mo,mohamedawwad-sd
Head of IT Committe,Trosc Team,May 2015 - May 2017 · 2 yrs 1 mo,mohamedelbastawesy
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Sep 2018 - Present · 4 yrs 8 mos,mohamedhashem
Development Team Member,Compiler Community,Nov 2019 - Present · 3 yrs 6 mos,mohamedhashem
Social Media Manager,ComputalityIt,Oct 2020 - Feb 2022 · 1 yr 5 mos,mohamedhashem
Co-Founder,internet revolution egypt,Dec 2013 - Present · 9 yrs 5 mos,mohamedmagdymostafa
Instructor,X Volunteer,Sep 2017 - Sep 2020 · 3 yrs 1 mo,mohamedmagdymostafa
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Education,mohamedmagdymostafa
Architect Club board member,Oracle,Jan 2011 - Present · 12 yrs 4 mos,mohamedtaman
Board member,EGJUG,Jan 2014 - Present · 9 yrs 4 mos,mohamedtaman
Board member,MoroccoJUG,Sep 2013 - Oct 2018 · 5 yrs 2 mos,mohamedtaman
Member at Scientific Committee,Student Union,Mar 2011 - Jan 2012 · 11 mos,mohammad-shaker-84117668
C++ Assistant,Cairo University - Student Union,Jan 2012 - Present · 11 yrs 4 mos,mohammad-shaker-84117668
Android Instructor,MOIC,Jan 2014 - Present · 9 yrs 4 mos,mohammad-shaker-84117668
Vice Head of Technical Electrical Committee,Science Club,Nov 2019 - Oct 2021 · 2 yrs,mohammad1722
Human Resources Coordinator,Science Club,Feb 2019 - Nov 2019 · 10 mos,mohammad1722
Math Teacher Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Mar 2013 - Present · 10 yrs 2 mos,mohammed-raafat
HR Member,Online Student Activity,Mar 2016 - Jan 2017 · 11 mos,mohammed-raafat
IT Head,Hayah Student Activity,Nov 2013 - Dec 2015 · 2 yrs 2 mos,mohammed-raafat
Member Technical and VP,Net Club,Nov 2016 - Nov 2017 · 1 yr 1 mo,mona-mamdouh
Project Coordinator,Enactus Zagazig University,Nov 2018 - Jun 2019 · 8 mos,mona-mamdouh
Fundraiser,TEDx Zagazig,Dec 2018 - Present · 4 yrs 5 mos,mona-mamdouh
Co-Founder &amp; Vice-President,CS Camp,Science and Technology,mostafa-hassan-backend-dev
Technical Writer,Medium,Sep 2021 - Present · 1 yr 8 mos,mostafa-wael
Academic Lead,Google DSC Cairo University - Faculty of Engineering,Sep 2021 - Feb 2022 · 6 mos,mostafa-wael
Moderator,Google DSC Cairo University - Faculty of Engineering,Aug 2020 - Aug 2021 · 1 yr 1 mo,mostafa-wael
implementer,charity organization,Feb 2014 - Mar 2014 · 2 mos,mostafaarefaat
Robotics Instructor,K-vector Foundation,Sep 2020 - Present · 2 yrs 8 mos,mostafakassem1
PR member,The Hope,Aug 2018 - Jun 2019 · 11 mos,mostafakassem1
IT Technician,Nobel Egypt,Sep 2011 - Apr 2013 · 1 yr 8 mos,mostafamohammed05
Chairman,ACM MU,Aug 2018 - May 2019 · 10 mos,motazmohamed
Ambassador,TIEC,Jul 2018 - Apr 2019 · 10 mos,motazmohamed
President of the Student Union of the Faculty of Computers and Information,Minia University,Oct 2018 - May 2019 · 8 mos,motazmohamed
Capacity Building Committee Member,Model of European Union 2013,Jun 2013 - Aug 2013 · 3 mos,mtaherelkholy
Logistics Executive,Ard El-Golf Youth,Jan 2011 - Present · 12 yrs 4 mos,muhammed-aly
Media and publication,Pirates Egypt,Sep 2014 - Jun 2015 · 10 mos,nada-dia
Fundraising Associate,TEDxGUC,Jan 2015 - Aug 2016 · 1 yr 8 mos,nada-hamdi-345676b3
Information Technology Specialist,ACES,Sep 2018 - May 2019 · 9 mos,nadienrashad
Cross Functional Team Member,ACES,Mar 2018 - May 2018 · 3 mos,nadienrashad
Operations Member,ACES,Sep 2017 - May 2018 · 9 mos,nadienrashad
Member,Run for yellow,Sep 2019 - Present · 3 yrs 8 mos,nadin-el-hanafy-b20533187(1)
Debater,The Intelligent Question (TIQ),Sep 2017 - Sep 2018 · 1 yr 1 mo,nadin-el-hanafy-b20533187(1)
Member,Nebny Foundation,Sep 2017 - Sep 2018 · 1 yr 1 mo,nadin-el-hanafy-b20533187(1)
Member,Run for yellow,Sep 2019 - Present · 3 yrs 8 mos,nadin-el-hanafy-b20533187
Debater,The Intelligent Question (TIQ),Sep 2017 - Sep 2018 · 1 yr 1 mo,nadin-el-hanafy-b20533187
Member,Nebny Foundation,Sep 2017 - Sep 2018 · 1 yr 1 mo,nadin-el-hanafy-b20533187
Head Of Fundraising,MOIC,Oct 2017 - Jul 2018 · 10 mos,nagham-alaa-54878a125
Human Development,MOIC,Oct 2016 - Jul 2017 · 10 mos,nagham-alaa-54878a125
Fundraiser,Fekra,Sep 2015 - Aug 2016 · 1 yr,nagham-alaa-54878a125
Youth Development Member,IEEE,Sep 2016 - Apr 2017 · 8 mos,nahed-sayed-528749b6
Embedded system Member,CECE,Aug 2014 - Jul 2015 · 1 yr,nahed-sayed-528749b6
Delegate,GATE,Feb 2013 - May 2013 · 4 mos,nahed-sayed-528749b6
Responsable et formateur,MEJ : Mouvement Eucharistique des Jeunes,Sep 2006 - Sep 2020 · 14 yrs 1 mo,nermine-georges-a833a9140
Volunteer,Bedaya,Jul 2014 - Present · 8 yrs 10 mos,noha-mohamed-ali(1)
Volunteer,Bedaya,Jul 2014 - Present · 8 yrs 10 mos,noha-mohamed-ali
Director Of Student Activities,"Faculty of computr and information science, Ain Shams University",Human Rights,noha-samir-b07468138
Member,Microsoft,Oct 2014 - Jan 2015 · 4 mos,norhan-elsayed-8055b9123
Public Relations Intern,AIESEC,Jan 2016 - Apr 2016 · 4 mos,norhan-elsayed-8055b9123
Member International office,Egyouth- شباب تحيا مصر,Aug 2019 - Mar 2020 · 8 mos,norhan-elsayed-8055b9123
Game Development Mentor,Egypt Career Summit,Mar 2019 - Present · 4 yrs 2 mos,nourhan-elsherief-5270b185
Run Double Jump Organizer,2024 Studios,Aug 2015 - Apr 2017 · 1 yr 9 mos,nourhan-elsherief-5270b185
Game Developer Lecturer,Arab Academy for Science and Technology and Maritime Transport,Mar 2015 - May 2015 · 3 mos,nourhan-elsherief-5270b185
HR delegate,Ryada AUC,Jan 2013 - Present · 10 yrs 4 mos,nourhan-hosny(1)
HR Manager,Update CU,Feb 2015 - Present · 8 yrs 3 mos,nourhan-hosny(1)
Volunteer,اعمار,Jan 2013 - Jan 2014 · 1 yr 1 mo,nourhan-hosny(1)
HR delegate,Ryada AUC,Jan 2013 - Present · 10 yrs 4 mos,nourhan-hosny
HR Manager,Update CU,Feb 2015 - Present · 8 yrs 3 mos,nourhan-hosny
Volunteer,اعمار,Jan 2013 - Jan 2014 · 1 yr 1 mo,nourhan-hosny
president of student union,AIET,Nov 2011 - Nov 2016 · 5 yrs 1 mo,nourhansaeed
Head sport committee,AIET student union,Nov 2015 - Present · 7 yrs 6 mos,nourhansaeed
Judge and tester,ICPC - International Collegiate Programming Contest,Aug 2021 - Sep 2022 · 1 yr 2 mos,oaik
Problem setter(Author),HackerEarth,Jan 2022 · 1 mo,oaik
Round Tester,CodeForces,,oaik
Vice President,ERTAQE FCIH,Sep 2018 - Jun 2019 · 10 mos,ola-ibrahim-32886a163(1)
Vice President,ERTAQE FCIH,Sep 2018 - Jun 2019 · 10 mos,ola-ibrahim-32886a163
Student Mentor,IEEE HTI Student Branch,Feb 2016 - Apr 2020 · 4 yrs 3 mos,omar-adel-808414145
Volunteer,Life Makers Foundation,Sep 2015 - Dec 2016 · 1 yr 4 mos,omar-adel-808414145
Graphic Designer,Google Student Club at HTI,Sep 2015 - Mar 2016 · 7 mos,omar-adel-808414145
Head of PR (Personal Relationship Department),IEEE,Oct 2020 - May 2021 · 8 mos,omar-ahmed-0999b518b
Member,Alashanek Ya Balady Association for Sustainable Development,,omar-nagah-ba21111aa
Technical Moderator,IEEE,Aug 2016 - Jul 2017 · 1 yr,omarosamasobeih
Coach at CU-FE branch,ICPC - ACM International Collegiate Programming Contest,Jan 2017 - Jul 2019 · 2 yrs 7 mos,omarosamasobeih
Problem Setter,ICPC - International Collegiate Programming Contest,Jul 2018 - Oct 2018 · 4 mos,omarosamasobeih
Software committee Member,Developer Student Clubs - Alexandria,Dec 2019 - Present · 3 yrs 5 mos,omarsamy09
Digital Nation Africa Ambassador IBM Egypt,IBM,Nov 2018 - Sep 2019 · 11 mos,omarsamy09
Human Resources Team Member,EYouth,Jan 2015 - Jan 2017 · 2 yrs,omniaeladawy
Human Resources Team Member,حياة شباب,Jan 2015 - Jan 2016 · 1 yr,omniaeladawy
Engine Control Technical Team Member,HFS Racing Team,Aug 2017 - Apr 2018 · 9 mos,osama-hamdy-47380313b
RAS Technical Team Member,IEEE Cairo University Student Branch,Sep 2017 - Feb 2018 · 6 mos,osama-hamdy-47380313b
Embedded Systems Instructor,Eng Break,Sep 2016 - May 2017 · 9 mos,osama-hamdy-47380313b
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,May 2017 - Jul 2019 · 2 yrs 3 mos,osamamagdy174
Developing Java Applications for Elections in 2015,Freelancer,,peter-wagih
CUSB Vice-chariman,IEEE,Oct 2018 - Jun 2019 · 9 mos,radwask
Organizer,EgyCon,Jan 2018 - Jan 2020 · 2 yrs,radwask
Publicity committee member,acmASCIS Student Chapter,Jan 2015 - Present · 8 yrs 4 mos,raghda-elhout-179296163
Student Representative,"Faculty of Engineering, Helwan University",Sep 2018 - Aug 2019 · 1 yr,rami-adel-64080b1a4
Logistics Assistant,IEEE Helwan SB,Sep 2017 - Feb 2018 · 6 mos,rami-adel-64080b1a4
Google Student Ambassador - Advisor,Google,Jul 2014 - Jul 2015 · 1 yr 1 mo,ramiabdelmoneam
Google Student Ambassador,Google,Jul 2013 - Jul 2014 · 1 yr 1 mo,ramiabdelmoneam
HR - Member,Enactus,Feb 2014 - Jul 2014 · 6 mos,ramiabdelmoneam
Volunteer,Computer Science Student Union ain shams,Children,rana-wael-910445117
Volunteer,shabab ard golf,Children,rana-wael-910445117
Founder (Vice-President),ATOM Initiative,Jul 2015 - Jun 2016 · 1 yr,randa-islam-diab-5b79a4221
Volunteer Staff,E-Web Organization,Science and Technology,randa-islam-diab-5b79a4221
Volunteer,AIChE Alex SC,Education,randa-islam-diab-5b79a4221
Research Member and Scriptwriter,Nawwar - نوَّر,Jul 2014 - May 2017 · 2 yrs 11 mos,rania-wael-1638a7149
C++ Instructor,CECE,Jan 2012 - Sep 2012 · 9 mos,redamaher
head of scientific community student Union,Faculty of Engineering Cairo University,Sep 2018 - Nov 2019 · 1 yr 3 mos,reham-gamal-931244149
Head Soft skills,Black horse,Jul 2017 - Jul 2018 · 1 yr 1 mo,reham-gamal-931244149
Public relation,(TCCD) technical center for career development,Jul 2017 - Jul 2019 · 2 yrs 1 mo,reham-gamal-931244149
volunteer,A plus (seeking top),Oct 2013 - Present · 9 yrs 7 mos,rewaidamohamed95
Human Resources Manager,MUFIX Community,Sep 2017 - Jul 2018 · 11 mos,roaagamal10
Chairman,acmASCIS Student Chapter,Jun 2020 - Present · 2 yrs 11 mos,salah-mostafa-136310169
Training Member,acmASCIS Student Chapter,Sep 2018 - Jun 2020 · 1 yr 10 mos,salah-mostafa-136310169
Member in projects committee,Pixels Egypt Org.,Jan 2021 - Oct 2021 · 10 mos,sally-youssef-679743182
Volunteer,Life Makers Foundation,Nov 2014 - Dec 2016 · 2 yrs 2 mos,salma-soliman-b72201173
Volunteer,Bedaya Team,Mar 2013 - Sep 2014 · 1 yr 7 mos,salma-soliman-b72201173
Vice President,Juniors - IEEE Zewail City,Sep 2017 - Sep 2018 · 1 yr 1 mo,salmaelbess
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Feb 2012 - Dec 2015 · 3 yrs 11 mos,salmaelbess
Decorations and Logistics Member,IEEE Zewail City,Mar 2017 - Sep 2017 · 7 mos,salmaelbess
Teaching Assistant,Manara,Nov 2021 - Present · 1 yr 6 mos,samah-abu-shamma-47b962158
HR Team member,"Steps Towards Progress""STP""",Aug 2014 - Apr 2015 · 9 mos,sameh-mostafa-1539b9a3
HR head,Feكra,Dec 2014 - Nov 2015 · 1 yr,sameh-mostafa-1539b9a3
HR Member,Feكra,Oct 2013 - Dec 2014 · 1 yr 3 mos,sameh-mostafa-1539b9a3
Social Media Coordinator,Support Asu,May 2014 - May 2016 · 2 yrs 1 mo,samiiir96
PHP Web Developer,Non-Profit Organization,Jul 2014 - Sep 2014 · 3 mos,samy-escarous
Python instructor for preparatory school students,"""Programming for all” student activity",Jun 2019 - Present · 3 yrs 11 mos,sara-ahmed-cufe
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,May 2015 - Jun 2018 · 3 yrs 2 mos,shehab-alaa-4b29ba182
Trainee,acmASCIS Student Chapter,Jun 2017 - Jan 2018 · 8 mos,shehab-alaa-4b29ba182
Android Developer Member,Suppoяt ASU,May 2018 - Jul 2021 · 3 yrs 3 mos,shehab-alaa-4b29ba182
Board member / Software Engineer,UniMasr.com,Jul 2008 - Jul 2012 · 4 yrs 1 mo,sherifmedhat
Vice Head of Logistics,FCAI Banha ACPC CLUB,Jan 2020 - Dec 2020 · 1 yr,shimaa-el-maghraby
Presentation Member,Enactus Banha University,Dec 2019 - Sep 2020 · 10 mos,shimaa-el-maghraby
Head Of Logistics,IEEE Computational Intelligence Society Student Chapter UnB,Apr 2018 - Jun 2018 · 3 mos,shimaa-el-maghraby
UI Designer,Vision Student Organization,Nov 2018 - Oct 2019 · 1 yr,shrok-ayman-zain-472590188
Speaker,EED - Egyptian Engineering Day,Oct 2021 · 1 mo,tarek-ragab
Organization President,Robotics Student Organization,Oct 2021 - Sep 2022 · 1 yr,tarek-ragab
"ROV, Control team",Robotics Student Organization,Oct 2020 - Sep 2021 · 1 yr,tarek-ragab
Vice President,acmASCIS Student Chapter,Aug 2020 - Present · 2 yrs 9 mos,tokaehab
Mentor,acmASCIS Student Chapter,Sep 2019 - Aug 2020 · 1 yr,tokaehab
Member Information Technology,TROSC تروس,Dec 2020 - Jun 2022 · 1 yr 7 mos,waelelsafty07
Member,ICPC Suez Canal University Community,Aug 2020 - Apr 2022 · 1 yr 9 mos,waelelsafty07
Head Of Training And Development web Development,CS Scientific team,Jun 2019 - Oct 2020 · 1 yr 5 mos,waelelsafty07
Volunteer,Karakeeb maker space,Jan 2015 - Jan 2016 · 1 yr 1 mo,yasser-mohamed-15317b147
Peer Mentor,Lassonde School of Engineering - York University,Sep 2020 - Dec 2020 · 4 mos,yasserelsaid
Web Developer,Developer Student Clubs,Jan 2021 - Jun 2021 · 6 mos,yomna-raouf-392440168
Students Representative,Cairo Uni. - Faculty of Engineering - EECE Department (2022),Sep 2018 - Sep 2022 · 4 yrs 1 mo,youssef-abdelhameed
HR Team Head,IEEE Cairo University Student Branch,Aug 2019 - Aug 2020 · 1 yr 1 mo,youssef-abdelhameed
HR Team Member,IEEE Cairo University Student Branch,Aug 2018 - Aug 2019 · 1 yr 1 mo,youssef-abdelhameed
Media Marketing,Association for Computing Machinery,Mar 2017 - Sep 2019 · 2 yrs 7 mos,youssef-ali97
Senior Team Lead,Scouts,Feb 2016 - Present · 7 yrs 3 mos,youssefsfahmy
Academic Coordinator,ASU Racing Team,Jul 2018 - Sep 2018 · 3 mos,youssephahmed
CSE 2019 students coordinator,"Faculty of Engineering, Ain Shams University",Sep 2018 - Jul 2019 · 11 mos,youssephahmed
Media,Life Makers Foundation,Jan 2012 - Jan 2014 · 2 yrs,zeyadetman
member,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Jan 2013 - Jan 2014 · 1 yr,zeyadetman
Software Developer,IEEE AlexSB,Oct 2018 - Jan 2021 · 2 yrs 4 mos,zeyadosama
Mentor,NASA Space Apps Cairo,Oct 2019 · 1 mo,zeyadosama
Programming Mentor,CoderDojo,May 2018 - Oct 2018 · 6 mos,zeyadosama
Membership Experience Coordinator,AIESEC,Sep 2020 - Aug 2021 · 1 yr,ziad-amerr
Head Of Business Development,Skate in Egypt,Jan 2021 - Present · 2 yrs 4 mos,ziad-amerr
Founder,Damietta Skaters,Jul 2020 - Present · 2 yrs 10 mos,ziad-amerr
Academic Committee Head,IEEE Cairo University Student Branch,Sep 2013 - Sep 2014 · 1 yr 1 mo,ziad-madkour
Academic Committee Member,IEEE Cairo University Student Branch,Sep 2012 - Sep 2013 · 1 yr 1 mo,ziad-madkour
Front End Supervisor,CAT Reloaded,Science and Technology,zienabmuhammad
